"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.506904712,300,0,0," E. Raoult,  R. Bodeux,  S. Jutteau,  S. Rives,  A. Yaiche,  D. Coutancier,  J. Rousset and  S. Collin, 'Optical characterizations and modelling of semitransparent perovskite solar cells for tandem applications', <i>in 36th EU PVSEC</i>, pp.757-763, (2019)",-
305,1.505065563,305,0,0,,
310,1.503327382,310,0,0,,
315,1.501683139,315,0,0,,
320,1.500125269,320,0,0,,
325,1.498648556,325,0,0,,
330,1.497246405,330,0,0,,
335,1.495914035,335,0,0,,
340,1.494647226,340,0,0,,
345,1.493441199,345,0,0,,
350,1.492292547,350,0,0,,
355,1.491197269,355,0,0,,
360,1.490151773,360,0,0,,
365,1.489153057,365,0,0,,
370,1.488198529,370,0,0,,
375,1.487285782,375,0,0,,
380,1.486412222,380,0,0,,
385,1.485575443,385,0,0,,
390,1.484773258,390,0,0,,
395,1.48400426,395,0,0,,
400,1.483266043,400,0,0,,
405,1.482556827,405,0,0,,
410,1.481875797,410,0,0,,
415,1.481221362,415,0,0,,
420,1.480592113,420,0,0,,
425,1.479986052,425,0,0,,
430,1.479402398,430,0,0,,
435,1.478840524,435,0,0,,
440,1.47829865,440,0,0,,
445,1.47777637,445,0,0,,
450,1.477272684,450,0,0,,
455,1.476786185,455,0,0,,
460,1.476316499,460,0,0,,
465,1.475863188,465,0,0,,
470,1.475424689,470,0,0,,
475,1.475000971,475,0,0,,
480,1.474590659,480,0,0,,
485,1.474193942,485,0,0,,
490,1.473810224,490,0,0,,
495,1.473438693,495,0,0,,
500,1.473078569,500,0,0,,
505,1.472730039,505,0,0,,
510,1.472392102,510,0,0,,
515,1.472064165,515,0,0,,
520,1.471746228,520,0,0,,
525,1.471437885,525,0,0,,
530,1.471138542,530,0,0,,
535,1.470847792,535,0,0,,
540,1.470565449,540,0,0,,
545,1.470291294,545,0,0,,
550,1.470024544,550,0,0,,
555,1.469765388,555,0,0,,
560,1.469513639,560,0,0,,
565,1.469269077,565,0,0,,
570,1.469030921,570,0,0,,
575,1.468799359,575,0,0,,
580,1.468573797,580,0,0,,
585,1.468354235,585,0,0,,
590,1.468140266,590,0,0,,
595,1.467931704,595,0,0,,
600,1.467728736,600,0,0,,
605,1.467531174,605,0,0,,
610,1.467338799,610,0,0,,
615,1.467150831,615,0,0,,
620,1.466967456,620,0,0,,
625,1.466788488,625,0,0,,
630,1.466614113,630,0,0,,
635,1.466444145,635,0,0,,
640,1.466278364,640,0,0,,
645,1.466115989,645,0,0,,
650,1.46595802,650,0,0,,
655,1.465803833,655,0,0,,
660,1.465652458,660,0,0,,
665,1.465505084,665,0,0,,
670,1.465361303,670,0,0,,
675,1.465220522,675,0,0,,
680,1.465083147,680,0,0,,
685,1.464948959,685,0,0,,
690,1.464817178,690,0,0,,
695,1.464688397,695,0,0,,
700,1.464562616,700,0,0,,
705,1.464439835,705,0,0,,
710,1.464319648,710,0,0,,
715,1.464201867,715,0,0,,
720,1.46408668,720,0,0,,
725,1.463973492,725,0,0,,
730,1.463862711,730,0,0,,
735,1.463754524,735,0,0,,
740,1.463648743,740,0,0,,
745,1.463545149,745,0,0,,
750,1.463443368,750,0,0,,
755,1.463344181,755,0,0,,
760,1.463246587,760,0,0,,
765,1.463150806,765,0,0,,
770,1.463057212,770,0,0,,
775,1.462965025,775,0,0,,
780,1.462874838,780,0,0,,
785,1.46278665,785,0,0,,
790,1.462700056,790,0,0,,
795,1.462614869,795,0,0,,
800,1.462531682,800,0,0,,
805,1.462450088,805,0,0,,
810,1.462369494,810,0,0,,
815,1.462290713,815,0,0,,
820,1.462213713,820,0,0,,
825,1.462137526,825,0,0,,
830,1.462062932,830,0,0,,
835,1.461989745,835,0,0,,
840,1.461918151,840,0,0,,
845,1.461847558,845,0,0,,
850,1.46177837,850,0,0,,
855,1.461710777,855,0,0,,
860,1.461644183,860,0,0,,
865,1.461578589,865,0,0,,
870,1.461513996,870,0,0,,
875,1.461450402,875,0,0,,
880,1.461388214,880,0,0,,
885,1.461327214,885,0,0,,
890,1.461266621,890,0,0,,
895,1.461207433,895,0,0,,
900,1.461149433,900,0,0,,
905,1.461092246,905,0,0,,
910,1.461036246,910,0,0,,
915,1.460980652,915,0,0,,
920,1.460926465,920,0,0,,
925,1.460873465,925,0,0,,
930,1.460820871,930,0,0,,
935,1.460768871,935,0,0,,
940,1.460717684,940,0,0,,
945,1.460667684,945,0,0,,
950,1.460618497,950,0,0,,
955,1.460570497,955,0,0,,
960,1.460522497,960,0,0,,
965,1.460475309,965,0,0,,
970,1.460429309,970,0,0,,
975,1.460383716,975,0,0,,
980,1.460338716,980,0,0,,
985,1.460294528,985,0,0,,
990,1.460251122,990,0,0,,
995,1.460207935,995,0,0,,
1000,1.460165935,1000,0,0,,
1005,1.460124341,1005,0,0,,
1010,1.460083747,1010,0,0,,
1015,1.460043747,1015,0,0,,
1020,1.460003747,1020,0,0,,
1025,1.45996456,1025,0,0,,
1030,1.459926154,1030,0,0,,
1035,1.459887966,1035,0,0,,
1040,1.459850966,1040,0,0,,
1045,1.459813966,1045,0,0,,
1050,1.459777372,1050,0,0,,
1055,1.459741779,1055,0,0,,
1060,1.459706779,1060,0,0,,
1065,1.459671779,1065,0,0,,
1070,1.459637185,1070,0,0,,
1075,1.459603591,1075,0,0,,
1080,1.459570591,1080,0,0,,
1085,1.459537591,1085,0,0,,
1090,1.459504998,1090,0,0,,
1095,1.459472998,1095,0,0,,
1100,1.459441404,1100,0,0,,
1105,1.459410404,1105,0,0,,
1110,1.459379404,1110,0,0,,
1115,1.45934881,1115,0,0,,
1120,1.459319217,1120,0,0,,
1125,1.459290217,1125,0,0,,
1130,1.459261217,1130,0,0,,
1135,1.459232217,1135,0,0,,
1140,1.459203623,1140,0,0,,
1145,1.459176029,1145,0,0,,
1150,1.459148623,1150,0,0,,
1155,1.459121029,1155,0,0,,
1160,1.459094029,1160,0,0,,
1165,1.459067436,1165,0,0,,
1170,1.459041436,1170,0,0,,
1175,1.459015842,1175,0,0,,
1180,1.458990436,1180,0,0,,
1185,1.458964842,1185,0,0,,
1190,1.458940248,1190,0,0,,
1195,1.458915842,1195,0,0,,
1200,1.458891248,1200,0,0,,
1205,1.458867655,1205,0,0,,
1210,1.458844248,1210,0,0,,
1215,1.458820655,1215,0,0,,
1220,1.458797655,1220,0,0,,
1225,1.458775061,1225,0,0,,
1230,1.458752655,1230,0,0,,
1235,1.458730061,1235,0,0,,
1240,1.458708061,1240,0,0,,
1245,1.458686467,1245,0,0,,
1250,1.458665467,1250,0,0,,
1255,1.458644467,1255,0,0,,
1260,1.458623467,1260,0,0,,
1265,1.458602467,1265,0,0,,
1270,1.458581874,1270,0,0,,
1275,1.458561874,1275,0,0,,
1280,1.458541874,1280,0,0,,
1285,1.45852228,1285,0,0,,
1290,1.45850328,1290,0,0,,
1295,1.458483874,1295,0,0,,
1300,1.458464686,1300,0,0,,